generation,species,population,max fitness,avg fitness,best performance
1,1,30,0.14527426160337553,0.013721607464741976,"{'prof/bar': 0.14527426160337553, 'profit': 0.13772, 'trades': 1, 'winratio': 1.0, 'drawdown': 0.0, 'fitness': 0.14527426160337553, 'confirmfactor': 3.629223229794518}"
2,1,30,0.07797468354430387,0.0025991561181434625,"{'prof/bar': 0.07797468354430387, 'profit': 0.07392000000000006, 'trades': 1, 'winratio': 1.0, 'drawdown': 0.0, 'fitness': 0.07797468354430387, 'confirmfactor': 2.718137265277094}"
3,1,30,0.09373417721518992,0.0033265586233833275,"{'prof/bar': 0.09373417721518992, 'profit': 0.08886000000000005, 'trades': 8, 'winratio': 0.5, 'drawdown': 0.11245999999999998, 'fitness': 0.09373417721518992, 'confirmfactor': 4.3571021729389265}"
4,1,30,0.3881223628691982,0.014856143082167754,"{'prof/bar': 0.3881223628691982, 'profit': 0.3679399999999999, 'trades': 6, 'winratio': 0.6666666666666666, 'drawdown': 0.05038000000000002, 'fitness': 0.3881223628691982, 'confirmfactor': 1.5372122913583701}"
5,1,10,0.0,0.0,"{'prof/bar': 0.005675105485232179, 'profit': 0.005380000000000105, 'trades': 4, 'winratio': 1.0, 'drawdown': 0.0, 'fitness': 0.0, 'confirmfactor': -0.5140362441414696}"
5,2,14,0.03732073011734027,0.0026657664369528766,"{'prof/bar': 0.25571729957805917, 'profit': 0.24242000000000008, 'trades': 2, 'winratio': 1.0, 'drawdown': 0.0, 'fitness': 0.03732073011734027, 'confirmfactor': 0.14594526916606948}"
5,3,2,0.0,0.0,"{'prof/bar': 0.015000000000003831, 'profit': 0.014220000000003633, 'trades': 579, 'winratio': 0.4438687392055268, 'drawdown': 0.14931999999999945, 'fitness': 0.0, 'confirmfactor': -20.715993046496585}"
5,4,3,0.0,0.0,"{'prof/bar': -0.2775632911392436, 'profit': -0.2631300000000029, 'trades': 312, 'winratio': 0.48717948717948717, 'drawdown': 0.4892700000000014, 'fitness': 0.0}"
5,5,1,0.0,0.0,"{'prof/bar': -0.13645569620253165, 'profit': -0.12936, 'trades': 2, 'winratio': 0.0, 'drawdown': 0.12936, 'fitness': 0.0}"
6,2,21,0.0,0.0,"{'prof/bar': -0.15533755274261607, 'profit': -0.14726000000000006, 'trades': 2, 'winratio': 0.0, 'drawdown': 0.14726000000000006, 'fitness': 0.0}"
6,6,6,0.0,0.0,"{'prof/bar': -0.042679324894514675, 'profit': -0.04045999999999991, 'trades': 2, 'winratio': 0.0, 'drawdown': 0.04045999999999991, 'fitness': 0.0}"
6,7,2,0.0,0.0,"{'prof/bar': 0.29668776371308014, 'profit': 0.28126, 'trades': 4, 'winratio': 1.0, 'drawdown': 0.0, 'fitness': 0.0, 'confirmfactor': 0.0}"
6,8,1,0.0,0.0,"{'prof/bar': -0.15493670886075997, 'profit': -0.14688000000000045, 'trades': 15, 'winratio': 0.4666666666666667, 'drawdown': 0.14884000000000008, 'fitness': 0.0}"
7,2,12,0.0,0.0,"{'prof/bar': 0.005042194092827187, 'profit': 0.004780000000000173, 'trades': 4, 'winratio': 0.5, 'drawdown': 0.012879999999999933, 'fitness': 0.0, 'confirmfactor': 0.0}"
7,6,5,0.0022362869198311905,0.0004472573839662381,"{'prof/bar': 0.0022362869198311905, 'profit': 0.0021199999999999687, 'trades': 1, 'winratio': 1.0, 'drawdown': 0.0, 'fitness': 0.0022362869198311905, 'confirmfactor': 1.1004341836609126}"
7,7,12,0.0,0.0,"{'prof/bar': 0.0, 'profit': 0.0, 'trades': 0, 'winratio': 0.0, 'drawdown': 0.0, 'fitness': 0.0}"
7,9,1,0.0,0.0,"{'prof/bar': 0.0, 'profit': 0.0, 'trades': 0, 'winratio': 0.0, 'drawdown': 0.0, 'fitness': 0.0}"
